# 500 sources from f125w_trimmed_matched_to_grism_PA0.00.fits (nsigma=5.00, npixels=8), brightest first
# RA_deg  Dec_deg  flux  x_pix  y_pix
150.1691484  2.3549550         58.22   3416.52   1395.11
150.1184040  2.3788560         58.03   1757.21    612.91
150.0707510  2.3569167         57.73    198.97   1330.89
150.0714450  2.3416990         57.54    221.64   1828.93
150.0812177  2.3946418         57.51    541.26     96.26
150.1677793  2.3966565         57.50   3371.71     30.33
150.1186757  2.3080697         57.18   1766.08   2929.55
150.1367850  2.3684193         57.15   2358.25    954.48
150.0860123  2.3567737         57.04    698.01   1335.59
150.0672083  2.3586479         56.74     83.12   1274.23
150.1111484  2.3698280         56.72   1519.95    908.37
150.0879288  2.3261534         56.71    760.65   2337.71
150.1816785  2.3335747         56.67   3826.28   2094.81
150.1242837  2.3134216         56.65   1949.46   2754.40
150.1173796  2.2863085         56.53   1723.69   3641.74
150.1754332  2.3804375         56.38   3622.01    561.13
150.0869566  2.3090056         56.05    728.84   2898.91
150.0672876  2.3451677         55.90     85.70   1715.40
150.0751447  2.2729827         55.70    342.54   4077.83
150.1654267  2.3893017         54.92   3294.80    271.04
150.0814930  2.3061982         54.72    550.17   2990.78
150.1006631  2.2991787         54.51   1177.04   3220.53
150.1554063  2.2802775         54.47   2967.21   3839.11
150.1605967  2.3870173         53.93   3136.86    345.80
150.1836523  2.3508670         53.90   3890.80   1528.88
150.0698933  2.2844864         53.72    170.82   3701.34
150.0930216  2.3576127         53.68    927.21   1308.14
150.0755347  2.2775603         53.58    355.30   3928.02
150.1808730  2.3621556         53.48   3799.90   1159.44
150.1083069  2.3647902         53.33   1427.03   1073.25
150.1397598  2.2796585         53.31   2455.55   3859.38
150.1437613  2.3577094         53.22   2586.37   1304.98
150.1893077  2.3530185         53.16   4075.73   1458.46
150.1283535  2.3407867         53.13   2082.55   1858.82
150.0680837  2.2756960         53.01    111.63   3989.02
150.0671224  2.3217397         52.39     80.26   2482.13
150.0867940  2.3203716         52.33    723.53   2526.93
150.0961868  2.3769578         52.04   1030.72    675.03
150.1731994  2.3631273         51.84   3548.98   1127.65
150.0738785  2.2979710         51.81    301.16   3260.03
150.1315251  2.2943287         51.76   2186.26   3379.26
150.1584480  2.3859642         51.71   3066.60    380.27
150.1562451  2.3839266         51.60   2994.57    446.96
150.0665482  2.2982039         51.53     61.45   3252.40
150.0800260  2.3467071         51.43    502.25   1665.03
150.1411874  2.2729559         51.41   2502.24   4078.73
150.1395555  2.3885738         51.35   2448.84    294.87
150.0945579  2.3687336         50.82    977.45    944.18
150.1760087  2.2827780         50.65   3640.93   3757.26
150.1305584  2.3614551         49.97   2154.64   1182.40
150.1612127  2.3012296         49.57   3157.07   3153.40
150.1501547  2.3929775         49.47   2795.42    150.75
150.1513951  2.2940456         49.39   2836.03   3388.52
150.1145199  2.2746462         49.33   1630.17   4023.41
150.1584524  2.3579584         48.84   3066.76   1296.82
150.1081386  2.3562658         48.74   1421.53   1352.23
150.0908179  2.3016732         48.63    855.10   3138.88
150.1594364  2.3017765         48.56   3098.99   3135.50
150.0952061  2.2764780         48.52    998.58   3963.46
150.1617546  2.3584574         48.47   3174.75   1280.49
150.1149425  2.2758043         48.37   1643.99   3985.51
150.0974111  2.3105013         48.22   1070.71   2849.96
150.1468200  2.2871406         48.19   2686.43   3614.50
150.1684713  2.2928923         48.17   3394.44   3426.25
150.1895804  2.3160081         48.07   4084.70   2669.71
150.1536395  2.3931362         48.02   2909.37    145.55
150.0775834  2.2924115         47.58    422.31   3441.98
150.1101218  2.3360881         47.54   1486.37   2012.59
150.0666601  2.3935406         47.52     65.25    132.28
150.1120740  2.3386278         47.48   1550.21   1929.47
150.1061839  2.3337709         47.23   1357.60   2088.42
150.0826072  2.3156509         47.20    586.62   2681.42
150.1120716  2.2929913         47.18   1550.11   3423.03
150.1553686  2.3317404         47.11   2965.94   2154.87
150.0796927  2.2959385         46.80    491.29   3326.55
150.1094852  2.2915653         46.70   1465.53   3469.70
150.1799316  2.2859507         46.63   3769.21   3653.42
150.1172905  2.3885382         46.49   1720.80    296.04
150.0721180  2.2936392         46.37    243.59   3401.79
150.1380560  2.2819994         46.25   2399.83   3782.76
150.1737077  2.3183711         46.09   3565.65   2592.40
150.0837800  2.2950769         45.94    624.95   3354.75
150.1632013  2.3807889         45.90   3222.03    549.64
