# flux          loglam   ivar         
  3.4185653     3.5952   1.8334738    
  3.1055214     3.5953   1.814517     
  3.166548      3.5954   1.6751945    
  3.1460738     3.5955   1.534343     
  2.3294387     3.5956   1.5077125    
  2.0346594     3.5957   1.5418535    
  2.2090158     3.5958   1.5359551    
  3.1757424     3.5959   1.4555305    
  2.3355212     3.596    1.3848453    
  1.708653      3.5961   1.3376004    
  3.465021      3.5962   1.2631451    
  4.8787346     3.5963   1.2967811    
  2.3901424     3.5964   1.454702     
  2.3061876     3.5965   1.4461907    
  4.2577386     3.5966   1.2296824    
  4.677554      3.5967   1.2843473    
  2.4350858     3.5968   1.5702733    
  1.1133373     3.5969   1.7332033    
  3.550445      3.597    1.530497     
  2.7462075     3.5971   1.4976927    
  3.195884      3.5972   1.4716206    
  3.0838208     3.5973   1.5153798    
  1.3581033     3.5974   1.7798911    
  2.8855643     3.5975   1.6099764    
  2.975216      3.5976   1.5782928    
  3.6854534     3.5977   1.5216769    
  3.7132297     3.5978   1.5281401    
  2.5502524     3.5979   1.7619252    
  2.3576338     3.598    1.7561935    
  4.7005215     3.5981   1.7124941    
  2.8507118     3.5982   1.8758042    
  2.2676475     3.5983   2.0665383    
  1.9785646     3.5984   2.046466     
  2.0081832     3.5985   2.0658836    
  2.8533645     3.5986   2.1116745    
  3.1501188     3.5987   2.2642202    
  2.0494502     3.5988   2.2890522    
  3.7211678     3.5989   1.9685405    
  3.1876965     3.599    1.9860672    
  2.2872913     3.5991   2.0211003    
  3.970216      3.5992   1.74511      
  5.020761      3.5993   1.5957745    
  3.0893195     3.5994   1.5989292    
  3.6550322     3.5995   1.5660312    
  2.9400628     3.5996   1.6239915    
  1.9618353     3.5997   1.756691     
  2.163226      3.5998   1.7420682    
  1.224001      3.5999   1.7595527    
  1.9767698     3.6      1.6916214    
  2.2194057     3.6001   1.7776251    
  3.0211692     3.6002   1.6306729    
  3.3271766     3.6003   1.68337      
  2.7545066     3.6004   1.6941694    
  3.2062528     3.6005   1.7394335    
  2.8996525     3.6006   1.7585675    
  3.9691086     3.6007   1.529606     
  2.6455247     3.6008   1.6920391    
  1.8539317     3.6009   1.5656089    
  3.0780058     3.601    1.6587096    
  2.0006018     3.6011   1.628458     
  3.4874213     3.6012   1.5349313    
  2.3752408     3.6013   1.4812727    
  3.5672035     3.6014   1.4738015    
  3.9041293     3.6015   1.4636464    
  1.3463073     3.6016   1.8043127    
  2.2174792     3.6017   1.5822016    
  4.4977093     3.6018   1.4026701    
  2.5385723     3.6019   1.5978703    
  2.720206      3.602    1.666666     
  3.1868913     3.6021   1.6409032    
  1.847784      3.6022   1.5796165    
  2.4307368     3.6023   1.5654209    
  -0.40826103   3.6024   2.049177     
  2.9186847     3.6025   1.852162     
  3.3983998     3.6026   1.7181187    
  2.109796      3.6027   1.8704904    
  2.8683918     3.6028   1.7302154    
  2.2598817     3.6029   1.6429251    
  1.6483158     3.603    1.6160717    
  2.24248       3.6031   1.6738427    
  2.1870916     3.6032   1.6567229    
  2.786504      3.6033   1.4965864    
  3.9424171     3.6034   1.4188294    
  2.0957959     3.6035   1.625202     
  0.2771849     3.6036   1.7573988    
  3.7077205     3.6037   1.590755     
  2.5969045     3.6038   1.6700255    
  0.7103848     3.6039   1.8675389    
  2.7569163     3.604    1.5959476    
  2.7560008     3.6041   1.438636     
  2.54311       3.6042   1.3526539    
  3.316693      3.6043   1.3926934    
  1.7580179     3.6044   1.6452405    
  2.337958      3.6045   1.5352527    
  5.00813       3.6046   1.4068103    
  1.8885013     3.6047   1.5601424    
  3.3733668     3.6048   1.6608249    
  2.2004359     3.6049   1.8306941    
  1.8789792     3.605    1.83388      
  2.6096308     3.6051   1.7315187    
  2.686722      3.6052   1.6616002    
  2.8307924     3.6053   1.6768383    
  2.9103615     3.6054   1.7564151    
  2.0868561     3.6055   1.8902134    
  2.245045      3.6056   1.7569139    
  2.6812518     3.6057   1.492799     
  1.9837499     3.6058   1.5798396    
  1.0505303     3.6059   1.6574366    
  2.2522976     3.606    1.7011349    
  3.6960452     3.6061   1.6781617    
  3.0272446     3.6062   1.7151941    
  1.4812899     3.6063   1.9891326    
  1.9617643     3.6064   1.9821907    
  4.1106954     3.6065   1.8416456    
  0.73751736    3.6066   1.9217708    
  1.472386      3.6067   1.8508525    
  3.17741       3.6068   1.0643198    
  3.772547      3.6069   0.74442166   
  3.4458523     3.607    0.57023793   
  2.3231528     3.6071   0.7298127    
  2.3591383     3.6072   0.7255706    
  2.8418782     3.6073   1.1134431    
  3.0045812     3.6074   1.375318     
  2.1168191     3.6075   1.3575902    
  1.2604221     3.6076   1.473816     
  2.589453      3.6077   1.454174     
  3.3390958     3.6078   1.4828882    
  3.9605815     3.6079   1.4879409    
  2.9518998     3.608    1.655987     
  1.6057477     3.6081   1.898874     
  1.9066782     3.6082   2.0152252    
  3.293142      3.6083   2.0073118    
  3.2267087     3.6084   2.0664525    
  3.811454      3.6085   1.9614474    
  2.1339223     3.6086   2.0992754    
  2.0290926     3.6087   2.1820261    
  4.584636      3.6088   1.8299704    
  3.4520397     3.6089   1.8919828    
  2.8145428     3.609    1.869403     
  2.1314669     3.6091   1.8514185    
  1.622698      3.6092   1.7070521    
  2.5961218     3.6093   1.8221722    
  3.1630883     3.6094   1.8151283    
  0.22308198    3.6095   2.2113686    
  2.3975267     3.6096   1.9687139    
  3.4729354     3.6097   1.9021454    
  2.8185608     3.6098   2.0553002    
  2.6938763     3.6099   1.9615561    
  3.1883488     3.61     1.9131922    
  2.0315025     3.6101   2.169936     
  1.9435047     3.6102   2.1593747    
  2.410068      3.6103   1.923047     
  1.7755514     3.6104   1.9470137    
  1.1098301     3.6105   2.0589645    
  2.2238429     3.6106   2.007432     
  3.9382584     3.6107   1.8115599    
  1.3582944     3.6108   1.9925238    
  2.5250027     3.6109   2.0255024    
  2.3766246     3.611    2.0779188    
  1.6336178     3.6111   2.3800285    
  2.374108      3.6112   2.2423687    
  2.204834      3.6113   2.1156793    
  2.8957267     3.6114   1.9912405    
  1.8553        3.6115   2.1861491    
  1.2704248     3.6116   2.2697117    
  1.6310393     3.6117   2.3853157    
  2.039755      3.6118   2.4788337    
  2.2578504     3.6119   2.370833     
  2.5008912     3.612    2.2524548    
  2.6780155     3.6121   2.338912     
  2.7684114     3.6122   2.0746362    
  3.2916386     3.6123   1.9139167    
  3.6672406     3.6124   1.8994498    
  2.4477746     3.6125   2.4307594    
  1.8906149     3.6126   2.579175     
  2.383492      3.6127   2.3592188    
  3.0369065     3.6128   2.4316635    
  2.447316      3.6129   2.7321417    
  1.5133482     3.613    3.0840874    
  2.6441462     3.6131   2.8667502    
  2.1902304     3.6132   2.5805397    
  2.2571197     3.6133   2.6611485    
  2.8171709     3.6134   2.414734     
  2.8722713     3.6135   2.2353096    
  2.2757623     3.6136   2.0550401    
  2.0660954     3.6137   2.136657     
  2.3482716     3.6138   2.1712937    
  3.0623643     3.6139   2.1866684    
  2.8793378     3.614    2.1826155    
  2.222652      3.6141   2.6854424    
  1.6278111     3.6142   2.761979     
  1.087164      3.6143   3.196383     
  2.927172      3.6144   2.5943644    
  2.1931145     3.6145   2.4014816    
  2.4803672     3.6146   2.4105427    
  2.2932656     3.6147   2.5031936    
  1.3564198     3.6148   2.658748     
  3.6705158     3.6149   2.392588     
  2.2280352     3.615    2.4939992    
  1.2123545     3.6151   2.9515572    
  2.0112727     3.6152   2.4867332    
  2.3795767     3.6153   2.3293219    
  1.5584159     3.6154   2.3938677    
  1.9625148     3.6155   2.4255962    
  2.415034      3.6156   2.352204     
  2.8126829     3.6157   2.3625083    
  2.3977275     3.6158   2.4350405    
  1.9232054     3.6159   2.5226896    
  1.7534715     3.616    2.617199     
  1.3401877     3.6161   2.8178651    
  2.7497957     3.6162   2.5078375    
  1.2458616     3.6163   2.3525233    
  1.3226695     3.6164   2.4322035    
  1.9012426     3.6165   2.5719519    
  1.4342        3.6166   2.6635303    
  2.7796981     3.6167   2.4848838    
  3.4564464     3.6168   2.3542511    
  3.1773345     3.6169   2.4356587    
  2.2739027     3.617    2.535002     
  1.5366586     3.6171   2.7216249    
  1.6080828     3.6172   2.871078     
  2.2681832     3.6173   2.7438784    
  2.3204596     3.6174   2.730865     
  2.1683676     3.6175   2.7801151    
  2.0692337     3.6176   2.8331923    
  2.478581      3.6177   2.679662     
  3.1151934     3.6178   2.408264     
  2.8674605     3.6179   2.343004     
  2.3195188     3.618    2.6063018    
  2.468637      3.6181   2.7187932    
  1.5761467     3.6182   2.47728      
  2.013914      3.6183   1.9775498    
  3.8461347     3.6184   1.9294143    
  2.6833496     3.6185   2.3001716    
  2.985844      3.6186   2.4648533    
  2.423418      3.6187   2.4947686    
  3.2888944     3.6188   2.485365     
  3.6225607     3.6189   2.4825513    
  2.2403443     3.619    2.72854      
  2.4459827     3.6191   2.6303651    
